cty_sub,wrk_at_home,pct
Haverhill,1206,0.058
Hingham,792,0.053
Hinsdale,56,0.153
Holbrook,121,0.052
Holden,372,0.087
Holliston,586,0.098
Holyoke,619,0.028
Hopedale,237,0.147
Hopkinton,652,0.058
Hubbardston,100,0.166
Hudson,551,0.056
Hull,396,0.202
Huntington,42,0.089
Ipswich,598,0.1
Kingston,335,0.057
Lakeville,178,0.049
Lancaster,150,0.055
Lanesborough,74,0.058
Lawrence,964,0.034
Lee,123,0.039
Leicester,326,0.122
Lenox,241,0.071
Leominster,574,0.029
Leverett,146,0.37
Lexington,1298,0.048
Lincoln,343,0.115
Littleton,300,0.043
Longmeadow,546,0.139
Lowell,1713,0.042
Ludlow,261,0.044
Lunenburg,447,0.165
Lynn,2495,0.095
Lynnfield,395,0.077
Malden,621,0.033
Manchester-by-the-Sea,283,0.147
Mansfield,483,0.039
Marblehead,942,0.153
Marion,170,0.066
Marlborough,985,0.032
Marshfield,504,0.068
Mashpee,337,0.067
Mattapoisett,194,0.088
Maynard,159,0.051
Medfield,473,0.147
Medford,1313,0.062
Medway,339,0.09
Melrose,659,0.098
Mendon,228,0.123
Merrimac,228,0.193
Methuen,940,0.067
Middleborough,487,0.053
Middleton,314,0.074
Milford,605,0.039
Millbury,199,0.038
Millis,95,0.053
Milton,859,0.125
Monson,120,0.072
Montague,237,0.093
Nahant,122,0.196
Nantucket,294,0.047
Natick,1052,0.045
Needham,1185,0.058
New Bedford,854,0.024
New Marlborough,72,0.181
Newbury,303,0.156
Newburyport,946,0.082
Newton,4011,0.074
Norfolk,377,0.115
North Adams,145,0.026
North Andover,938,0.064
North Attleborough,532,0.049
North Brookfield,72,0.063
North Reading,432,0.056
Northampton,1462,0.073
Northborough,743,0.074
Northbridge,341,0.066
Northfield,45,0.056
Norton,633,0.092
Norwell,400,0.049
Norwood,441,0.021
Oak Bluffs,171,0.091
Orange,248,0.117
Orleans,258,0.059
Otis,97,0.171
Oxford,89,0.017
Palmer,279,0.06
Paxton,209,0.093
Peabody,977,0.04
Pembroke,436,0.075
Pepperell,363,0.16
Petersham,54,0.129
Pittsfield,522,0.02
Plainfield,52,0.374
Plainville,248,0.05
Plymouth,1358,0.05
Plympton,57,0.041
Princeton,111,0.149
Provincetown,198,0.099
Quincy,955,0.023
Randolph,255,0.032
Raynham,136,0.013
Reading,701,0.088
Rehoboth,293,0.161
Revere,484,0.047
Richmond,77,0.249
Rochester,82,0.081
Rockland,236,0.031
Rockport,322,0.172
Rowe,13,0.094
Rowley,173,0.066
Rutland,198,0.159
Salem,1487,0.07
Salisbury,278,0.083
Sandwich,509,0.074
Saugus,225,0.023
Scituate,510,0.117
Seekonk,378,0.049
Sharon,514,0.114
Sheffield,230,0.124
Shelburne,89,0.113
Sherborn,153,0.177
Shirley,181,0.068
Shrewsbury,937,0.067
Shutesbury,91,0.317
Somerset,259,0.058
Somerville,2031,0.085
South Hadley,414,0.071
Southampton,190,0.163
Southborough,387,0.049
Southbridge,262,0.037
Southwick,225,0.077
Spencer,292,0.075
Springfield,1678,0.021
Sterling,300,0.115
Stockbridge,216,0.129
Stoneham,293,0.029
Stoughton,487,0.038
Stow,219,0.079
Sturbridge,488,0.091
Sudbury,903,0.117
Sunderland,30,0.034
Sutton,214,0.086
Swampscott,479,0.143
Swansea,123,0.022
Taunton,537,0.023
Templeton,102,0.058
Tewksbury,598,0.043
Tisbury,148,0.058
Topsfield,197,0.075
Townsend,319,0.124
Truro,230,0.292
Tyngsborough,181,0.044
Upton,213,0.133
Uxbridge,374,0.093
Wakefield,602,0.049
Walpole,518,0.047
Waltham,1680,0.029
Ware,91,0.03
Wareham,313,0.032
Warren,29,0.031
Watertown,959,0.048
Wayland,814,0.178
Webster,431,0.061
Wellesley,1218,0.052
Wellfleet,203,0.115
Wenham,423,0.251
West Boylston,71,0.019
West Bridgewater,111,0.018
West Brookfield,84,0.064
West Newbury,184,0.206
West Sockbridge,64,0.004
West Springfield,485,1.909
West Tisbury,232,0.253
Westborough,689,0.032
Westfield,893,0.044
Westford,631,0.051
Westhampton,94,0.119
Westminster,195,0.064
Weston,714,0.106
Westport,292,0.076
Westwood,657,0.064
Weymouth,928,0.044
Whately,90,0.066
Whitman,166,0.05
Wilbraham,414,0.08
Williamsburg,132,0.114
Williamstown,198,0.036
Wilmington,427,0.022
Winchendon,101,0.045
Winchester,789,0.104
Winthrop,296,0.087
Woburn,967,0.026
Worcester,3461,0.033
Worthington,53,0.239
Wrentham,328,0.054
Yarmouth,641,0.061
